/*******************************************
 * OPL 12.6.0.0 Data                       *
 * Author: Andrea Ponza                    *
 * Creation Date: Jan 28, 2016 at 17:00:04 *
 *******************************************/

c = 5;						// number of customers
maxSpeedTruck = 15.6464;	// average traveling speed of the truck (35mph in m/s)
maxSpeedDrone = 22.352;		// average traveling speed of the drone (50mph in m/s)
SL = 40;					// service time before launch (attaching package takes double time)
SR = 30;					// service time after rendezvous
E = 1440.0;					// flight endurance of the drone (2*(10mi/50mph) in seconds)
M = 5313;					// big enough number

// set of the serviceable customers for the drones
Cdrones = { 1  2  3  5};

// distance matrix for the selected instance
distance = [
[     0  7663 11389 15022 11557  7801     0]
[  7663     0 13324 20798 15531 15388  7663]
[ 11389 13324     0 10381 22810 12903 11389]
[ 15022 20798 10381     0 23513 10161 15022]
[ 11557 15531 22810 23513     0 13407 11557]
[  7801 15388 12903 10161 13407     0  7801]
[     0  7663 11389 15022 11557  7801     0]
];

// travel times matrix for vehicles
tauTruck = [
[    0.0000  612.2015  909.8738 1200.1163  923.2955  623.2264    0.0000]
[  612.2015    0.0000 1064.4621 1661.5643 1240.7806 1229.3563  612.2015]
[  909.8738 1064.4621    0.0000  829.3441 1822.3042 1030.8282  909.8738]
[ 1200.1163 1661.5643  829.3441    0.0000 1878.4673  811.7682 1200.1163]
[  923.2955 1240.7806 1822.3042 1878.4673    0.0000 1071.0930  923.2955]
[  623.2264 1229.3563 1030.8282  811.7682 1071.0930    0.0000  623.2264]
[    0.0000  612.2015  909.8738 1200.1163  923.2955  623.2264    0.0000]
];

// travel times matrix for drones
tauDrone = [
[    0.0000  428.5411  636.9117  840.0814  646.3068  436.2585    0.0000]
[  428.5411    0.0000  745.1235 1163.0950  868.5464  860.5494  428.5411]
[  636.9117  745.1235    0.0000  580.5409 1275.6129  721.5797  636.9117]
[  840.0814 1163.0950  580.5409    0.0000 1314.9271  568.2377  840.0814]
[  646.3068  868.5464 1275.6129 1314.9271    0.0000  749.7651  646.3068]
[  436.2585  860.5494  721.5797  568.2377  749.7651    0.0000  436.2585]
[    0.0000  428.5411  636.9117  840.0814  646.3068  436.2585    0.0000]
];

// set of all the drone's tuples
F = 
{<0,1,2>, <0,1,4>, <0,1,5>, <0,1,6>, <0,2,1>, <0,2,3>, <0,2,5>, <0,2,6>, <0,3,2>, <0,3,5>, <0,5,1>, <0,5,2>, <0,5,3>, <0,5,4>, <0,5,6>, <1,2,3>, <1,2,6>, <1,5,3>,
<1,5,6>, <2,1,6>, <2,3,5>, <2,3,6>, <2,5,3>, <2,5,6>, <3,2,1>, <3,2,5>, <3,2,6>, <3,5,1>, <3,5,2>, <3,5,4>, <3,5,6>, <4,1,6>, <4,5,3>, <4,5,6>, <5,1,6>, <5,2,3>, <5,2,6>,
<5,3,2>, <5,3,6>}

;
